,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tarakan,3.3,117.63,77.04,82,100,10.38,ID,1596243492
1,Tasiilaq,65.61,-37.64,44.6,65,0,5.55,GL,1596242972
2,Puerto El Triunfo,13.28,-88.55,86.0,79,20,3.36,SV,1596243493
3,Cabo San Lucas,22.89,-109.91,88.0,54,20,10.29,MX,1596242732
4,Rawlins,41.79,-107.24,84.2,16,1,6.93,US,1596243493
5,Hithadhoo,-0.6,73.08,83.03,71,0,6.58,MV,1596243493
6,Bluff,-46.6,168.33,52.0,85,100,2.06,NZ,1596243477
7,Meulaboh,4.14,96.13,76.78,79,55,3.38,ID,1596243494
8,Opuwo,-18.06,13.84,55.31,39,0,8.14,NA,1596243494
9,Ushuaia,-54.8,-68.3,41.0,56,40,16.11,AR,1596243338
10,Arraial do Cabo,-22.97,-42.03,68.83,75,70,14.34,BR,1596243495
11,Castro,-24.79,-50.01,50.76,97,22,6.4,BR,1596242929
12,Chui,-33.7,-53.46,48.24,91,39,1.36,UY,1596242939
13,Brønnøysund,65.46,12.2,55.4,100,100,3.36,NO,1596243497
14,Murray Bridge,-35.12,139.27,62.01,54,7,4.0,AU,1596243497
15,Sai Buri,6.7,101.62,77.0,83,75,5.82,TH,1596243413
16,Bethel,41.37,-73.41,77.0,69,1,3.36,US,1596242920
17,George Town,5.41,100.34,78.8,94,20,4.81,MY,1596242938
18,Ilulissat,69.22,-51.1,46.4,81,100,13.87,GL,1596242917
19,Hilo,19.73,-155.09,84.2,58,75,9.17,US,1596242941
20,San Javier,37.81,-0.84,81.0,100,0,4.7,ES,1596243498
21,Pryazha,61.69,33.62,53.6,87,79,13.42,RU,1596243499
22,Ponta do Sol,32.67,-17.1,69.8,73,20,14.99,PT,1596242978
23,Rikitea,-23.12,-134.97,74.16,85,100,9.4,PF,1596242903
24,Butaritari,3.07,172.79,83.17,71,52,6.64,KI,1596242913
25,Boa Vista,2.82,-60.67,82.4,69,75,5.82,BR,1596243499
26,Mataura,-46.19,168.86,58.37,68,100,5.03,NZ,1596242905
27,Narsaq,60.92,-46.05,48.2,70,9,4.7,GL,1596243500
28,Qaqortoq,60.72,-46.03,48.2,70,31,4.7,GL,1596243500
29,Port Alfred,-33.59,26.89,56.23,76,0,5.03,ZA,1596242917
30,Jamestown,42.1,-79.24,73.4,69,1,6.93,US,1596242928
31,Pakruojis,55.97,23.87,55.4,100,74,9.17,LT,1596243501
32,Atuona,-9.8,-139.03,78.73,76,73,17.49,PF,1596242906
33,Saint-Philippe,-21.36,55.77,68.0,77,75,5.82,RE,1596242909
